country,population,x,y
India,1350000000,-20729.648968280,0
Madagascar,26300000,2893.363096231,0
Botswana,2330000,650.237746508,-3010.833416751
Dominican Republic,10900000,1406.395490766,4517.618373449
Jamaica,2900000,4096.903552998,3661.408366542
Uganda,44300000,8778.478779260,3093.234240555
Russia,144000000,9074.827014713,-7428.014884824
Bangladesh,166000000,350.244662424,-18427.332658120
Cote d'Ivoire,24900000,954.614348407,9173.732266276
Samoa,198000,2315.438678255,6425.887178407
Lesotho,2260000,3411.446051472,6342.020472852
Antigua and Barbuda,103000,3285.842485164,5320.481571251
Kiribati,118000,3412.995311086,4967.830318693
Vanuatu,282000,3902.608229356,4906.728107156
Egypt,99400000,8723.236658748,12473.163115943
Mozambique,30500000,-1759.268842238,14447.559155572
China,1420000000,2067.289282593,38521.471015365
Albania,2930000,11854.917027924,6674.054287607
Brazil,211000000,20677.090418393,4205.380166970
Croatia,4160000,12427.108856694,-186.259924932
Ecuador,16900000,18047.611469466,-5975.214771690
Denmark,5750000,16935.809520084,-9475.107101209
South Africa,57400000,17018.285699792,-15101.839328145
Lao,6960000,11262.685781553,-15391.654388909
"Micronesia, Fed. Sts.",106000,9976.380321253,-14323.287661794
Azerbaijan,9920000,9389.075476687,-18066.064877656
Argentina,44700000,17529.834081943,15751.512834279
Japan,127000000,-23028.542492731,26990.014665205
Cambodia,16200000,18532.647122324,21710.605075254
Maldives,444000,7901.304358364,-19622.202827712
Palestine,5050000,8431.888893465,-21178.013733940
Netherlands,17100000,7630.212518083,-24688.543668195
Kazakhstan,18400000,3787.666100793,-27486.267696096
Sweden,9980000,-414.587341467,-27446.374538315
France,65200000,-6736.810279267,-27892.922308928
Bhutan,817000,-6030.640205463,-22876.791332024
Guatemala,17200000,-8813.689840739,-21317.637490325
Somalia,15200000,-13336.629987442,-21704.710535785
United States,327000000,30923.657051413,-11074.714378385
Estonia,1310000,12527.006577486,-17111.018297992
Georgia,3910000,12176.966813777,-18837.242866685
Hungary,9690000,11425.137997878,-21608.950458705
Venezuela,32400000,-18317.405691752,-23819.236531690
Ethiopia,108000000,-27173.148640462,-25800.436651208
Peru,32600000,-34072.328196336,-19890.244434322
Namibia,2590000,-35339.794290381,-15960.279449046
Lebanon,6090000,-37262.855546660,-14698.089405801
United Kingdom,66600000,-42810.019570323,-12420.363670345
Eritrea,5190000,-41721.860456132,-6632.163054621
Tunisia,11700000,-43081.875425451,-3718.836684416
Costa Rica,4950000,-42707.512640952,-555.846030385
Senegal,16300000,-43556.958154665,2873.578652188
Marshall Islands,53200,-41271.068622409,3630.495878813
Comoros,832000,-41446.898543772,4702.609633308
Sierra Leone,7720000,-41992.662751928,6712.027141274
Slovenia,2080000,-40497.149415994,8565.115207338
Nigeria,196000000,-44138.972836906,16479.784481967
Guyana,782000,-35901.427842447,14848.203446556
Gabon,2070000,-35201.352119010,15956.212151119
Belgium,11500000,-33954.704957894,18379.314976411
Pakistan,201000000,-36913.587329181,30640.357604043
Ukraine,44000000,25031.932790484,15320.456512337
Germany,82300000,32434.76084535,10451.147921177
Canada,37000000,34357.326013044,2119.981419823
St. Vincent and the Grenadines,110000,13260.078967218,-17506.327032220
Greece,11100000,14993.956483722,-20913.520721927
Andorra,77000,21446.582627769,-15256.983743525
Uruguay,3470000,21735.897619484,-17572.528130686
Jordan,9900000,20445.636739574,-20086.956437673
Togo,7990000,18087.791894701,-22494.683120951
Mauritius,1270000,10462.610197266,-23798.813504930
Mali,19100000,-13718.515421463,-27147.905328658
Austria,8750000,21966.933409817,19780.053717717
Vietnam,96500000,14446.529268208,-28632.985560555
Bahrain,1570000,8273.583057288,-27659.655815195
Saudi Arabia,33600000,6517.512699134,-32479.186776541
Libya,6470000,1123.204097462,-30272.503758666
Zambia,17600000,-1780.965321144,-32726.264343805
Chad,15400000,1905.036320913,-35446.278252545
Montenegro,629000,23065.764115875,-18262.985933027
"Congo, Rep.",5400000,23529.235708577,-19959.324980526
Zimbabwe,16900000,21520.233159607,25195.441915273
Seychelles,95200,20700.794555636,22840.498291590
Panama,4160000,23341.679920586,22241.828145644
Honduras,9420000,22597.574118872,-22855.848134346
Serbia,8760000,21130.905685722,-25924.857175726
Moldova,4040000,-5220.889860687,-33376.899388386
Kuwait,4200000,-7504.361481547,-33552.995306737
Burkina Faso,19800000,-11167.777998093,-33397.154354505
El Salvador,6410000,-14292.824673266,-30999.445161767
Timor-Leste,1320000,24280.165663195,19646.233264307
Tonga,109000,25014.076414475,19249.094277037
Nicaragua,6280000,26222.986100513,20337.274677321
Sudan,41500000,31182.407574727,19393.663338021
South Korea,51200000,38552.070408599,17262.762923109
Turkmenistan,5850000,25765.792922576,-21427.970047191
Australia,24800000,26607.597867338,24543.222438890
Myanmar,53900000,-19677.188507705,-32427.426666137
Iran,82000000,27697.813519192,-27606.489367530
Portugal,10300000,21504.905186108,-30693.451370207
Angola,30800000,19908.715435907,-35370.383839958
Algeria,42000000,13566.950164790,-37789.485795828
Bosnia and Herzegovina,3500000,10690.645589927,-34057.385000045
Singapore,5790000,8706.991274376,-36556.431049530
Brunei,434000,-671.632447199,-35230.111155367
Norway,5350000,-1875.674341495,-36396.925120275
Guinea,13100000,-5219.034348252,-36552.929260655
Solomon Islands,623000,35652.092600411,-1534.585122546
Oman,4830000,37336.144204669,-1598.154434663
Belarus,9450000,39863.960343030,-3165.512795510
Central African Republic,4740000,41095.549638487,-5860.090073663
Barbados,286000,40744.915170402,-7349.422071798
Liberia,4850000,42010.418522917,-8234.363375825
Cape Verde,553000,41469.479601485,-9805.924193982
Paraguay,6900000,42605.168770936,-11331.091428937
Malta,432000,41369.331389204,-12711.554276528
Dominica,74300,41071.097014764,-13143.146790438
Luxembourg,590000,41227.952518716,-13708.956404266
Turkey,81900000,44473.737358878,-18197.566202323
Cameroon,24700000,37653.842341542,-22204.324190730
Morocco,36200000,36178.789007509,-28224.756470048
Burundi,11200000,5619.998344215,-37559.001550841
Slovak Republic,5450000,2702.440674584,-38886.219004451
Italy,59300000,26745.760311468,31696.155827876
St. Lucia,180000,27315.972249950,21577.645189847
Poland,38100000,32631.220319752,26361.643784448
Switzerland,8540000,-8895.226220388,-36880.646852124
United Arab Emirates,9540000,39211.744656091,11520.915080050
Malaysia,32000000,39810.414272538,6623.224203353
Tanzania,59100000,44511.049020491,742.124026734
Romania,19600000,-14758.854307248,-36888.118174632
Yemen,28900000,-11082.405603503,-41020.103773711
Armenia,2930000,-149.984246141,-37872.771818766
Swaziland,1390000,-28305.716217394,31624.414997988
North Korea,25600000,-27091.668913482,35258.309707792
Uzbekistan,32400000,-22397.576397651,39100.459925530
Kenya,51000000,-933.348816677,-42805.816698381
Latvia,1930000,31740.757753925,30533.948168331
Gambia,2160000,-2800.119776127,-38320.474078597
Ireland,4800000,-5277.294394213,-39830.512338927
Mexico,131000000,42552.825981645,26964.699943481
Kyrgyz Republic,6130000,-6763.196035794,-42004.103121780
Chile,18200000,-26036.531494077,-33992.103302665
Guinea-Bissau,1910000,-28712.922424733,-32262.476313590
Mauritania,4540000,-30668.475550368,-31940.637344199
Nepal,29600000,-34718.339488762,-30582.086702994
Bulgaria,7040000,-34530.082718626,-26019.481544323
Trinidad and Tobago,1370000,-33480.494024503,-24134.689495737
Djibouti,971000,-34588.130030668,-23632.129869803
Cyprus,1190000,23707.427072816,-31710.841984949
Sao Tome and Principe,209000,22960.417668582,-32163.368299424
Rwanda,12500000,24881.743512168,-34128.131141830
Thailand,69200000,7755.146942643,-43784.469972844
New Zealand,4750000,-18408.162403059,-37647.087696831
Malawi,19200000,-21977.385377939,-38628.823215205
South Sudan,12900000,-26470.300330284,-38404.122020136
Belize,382000,4854.133889711,-39660.648468086
"Congo, Dem. Rep.",84000000,1746.002097492,-51607.016858190
Iraq,39300000,-21635.894801357,45805.648323988
Fiji,912000,-17864.082265990,47349.867651145
Niger,22300000,-18317.954953606,51044.501500901
Equatorial Guinea,1310000,-15163.722925718,52047.988537250
Tajikistan,9110000,-14591.840046140,54325.924182133
Philippines,107000000,-12286.411587088,61503.671861619
Ghana,29500000,-3414.949177832,62220.258062425
Lithuania,2880000,295.408445861,60668.457969640
Spain,46400000,4143.287302011,63538.896962414
"Macedonia, FYR",2090000,7172.104694602,59999.078678952
Czech Republic,10600000,9809.437915579,60282.398577466
Qatar,2690000,11858.222253129,58429.758478864
Papua New Guinea,8420000,14352.819279014,57843.928311253
Grenada,108000,14459.300190310,56024.507664517
Iceland,338000,14942.272667055,55850.3339095
Colombia,49500000,19790.385881334,56477.821488878
Mongolia,3120000,20131.424622046,51523.562673241
Cuba,11500000,22379.534594746,49676.121413251
Benin,11500000,23938.233924784,46181.45244996
Bahamas,399000,22940.205453305,44143.022174410
Indonesia,267000000,34542.738775772,42794.682025390
Suriname,568000,-36231.299900293,-16951.538652153
Israel,8450000,-38326.561492483,-17537.738920263
Bolivia,11200000,32857.467274997,-32332.723595349
Finland,5540000,29922.124605795,-33646.862116601
Sri Lanka,21000000,28279.909641048,-37199.005173466
Haiti,11100000,-37184.233908427,-23932.070714649
Afghanistan,36400000,-41738.152688093,-21252.877581057
Syria,18300000,-16509.762155768,-41476.703153398
